graph,config,shot_seed,k,mod,nmi,used_k,collapse,best_epoch,time,error
karate,baseline,48,2,0.0,0.0,1,True,0,4.490803003311157,
karate,baseline,44,2,0.005275388392271553,0.09295323863602867,2,True,4,4.567980051040649,
karate,baseline,43,2,0.0,0.0,1,True,0,5.177264928817749,
karate,baseline,42,2,0.0211015535690861,0.16944637246155173,2,True,2,5.213436841964722,
karate,baseline,49,2,0.013146305354097504,0.16944637246155173,2,True,0,5.657970190048218,
karate,baseline,46,2,0.05722344034032351,0.08841241724654092,2,True,0,6.045960187911987,
karate,baseline,50,2,0.0,0.0,1,True,0,2.5097739696502686,
karate,baseline,45,2,0.005275388392271553,0.09295323863602867,2,True,4,7.167731046676636,
karate,baseline,47,2,0.06870186090965318,0.12161284959439582,2,False,1,7.208274841308594,
karate,baseline,51,2,0.07004179082101158,0.06875825694713034,2,False,0,4.628586053848267,
karate,baseline,52,2,0.02903806150559396,0.023023025541968067,2,False,1,4.981267929077148,
karate,baseline,53,2,0.0,0.0,1,True,0,4.994959831237793,
karate,baseline,55,2,0.0,0.0,1,True,0,4.19123911857605,
karate,baseline,54,2,0.0,0.0,1,True,0,4.997694969177246,
karate,baseline,56,2,0.0,0.0,1,True,0,4.926539897918701,
karate,baseline,61,2,0.08047075579543103,0.20648664237620043,2,True,3,1.8405802249908447,
karate,baseline,57,2,0.0,0.0,1,True,0,4.997688055038452,
karate,baseline,58,2,0.0,0.0,1,True,0,5.02727198600769,
karate,baseline,59,2,0.014804819999625273,0.09295323863602867,2,True,1,3.537168264389038,
karate,baseline,60,2,0.0,0.0,1,True,0,4.951514005661011,
karate,ortho,48,2,-0.0027079702404376677,0.011035881292114469,2,True,0,2.472993850708008,
karate,ortho,44,2,0.001564813253124936,0.010450854961698345,2,False,0,3.4692018032073975,
karate,ortho,42,2,0.0211015535690861,0.16944637246155173,2,True,2,5.256584882736206,
karate,ortho,43,2,0.15209610014804825,0.0,2,False,2721,5.282165050506592,
karate,ortho,46,2,0.05722344034032351,0.08841241724654092,2,True,0,4.1107399463653564,
karate,ortho,47,2,0.06870186090965318,0.12161284959439582,2,False,1,4.482111930847168,
karate,ortho,45,2,-0.012481025468038434,0.0,2,False,1,5.323229074478149,
karate,ortho,50,2,-0.019714772961526277,0.08841241724654092,2,True,0,3.1100521087646484,
karate,ortho,49,2,0.013146305354097504,0.16944637246155173,2,True,0,3.7616119384765625,
karate,ortho,51,2,0.07004179082101158,0.06875825694713034,2,False,0,3.6779420375823975,
karate,ortho,52,2,0.02903806150559396,0.023023025541968067,2,False,1,4.540195941925049,
karate,ortho,56,2,0.002014579936657813,0.09295323863602867,2,True,36,3.0150349140167236,
karate,ortho,55,2,0.01592923670845754,0.09295323863602867,2,True,63,4.305854797363281,
karate,ortho,53,2,-0.013642922733831768,0.08841241724654092,2,True,1,5.201290130615234,
karate,ortho,54,2,0.0,0.0,1,True,0,5.376883268356323,
karate,ortho,59,2,0.014804819999625273,0.09295323863602867,2,True,1,2.6209230422973633,
karate,ortho,60,2,-0.0011337868480726554,0.05045146296538818,2,True,3,3.2327449321746826,
karate,ortho,57,2,-0.004132231404958726,0.05045146296538818,2,True,6,5.099081993103027,
karate,ortho,58,2,-0.037752290999044216,0.015654910746424097,2,False,0,4.964925050735474,
karate,ortho,61,2,0.08047075579543103,0.20648664237620043,2,True,3,3.68375301361084,
polbooks,baseline,43,3,0.030889906983201522,0.03499275352623582,2,True,5,5.284389019012451,
polbooks,baseline,45,3,0.004902792560712949,0.021028842919237796,3,True,1,5.3223021030426025,
polbooks,baseline,46,3,0.04552886914402951,0.01804431696738243,3,False,1,5.3712990283966064,
polbooks,baseline,42,3,0.0,0.0,1,True,0,6.132915258407593,
polbooks,baseline,49,3,0.022904551087252735,0.06309969818166684,3,False,3,6.450844049453735,
polbooks,baseline,48,3,0.01836940369496251,0.034446618877014376,3,False,0,6.931716680526733,
polbooks,baseline,44,3,0.45687496464950306,0.5979222938719463,2,False,448,7.538383960723877,
polbooks,baseline,47,3,0.014160766347355289,0.0032274462594991593,2,True,2,7.608185052871704,
polbooks,baseline,50,3,0.02304338212987396,0.07689699345222445,3,True,3,2.4175541400909424,
polbooks,baseline,52,3,0.036587121621135275,0.03248525203300736,3,False,4,2.8854689598083496,
polbooks,baseline,53,3,0.0,0.0,1,True,0,3.7646100521087646,
polbooks,baseline,58,3,0.06207033077781381,0.054961495380110886,3,False,3,2.3324551582336426,
polbooks,baseline,59,3,0.0015862732092081476,0.1017584112047568,3,True,4,1.9426579475402832,
polbooks,baseline,51,3,0.015495086923658362,0.08398549375296323,3,False,3,5.033374071121216,
polbooks,baseline,57,3,0.0,0.0,1,True,0,4.052980184555054,
polbooks,baseline,54,3,0.019040420400964653,0.023153710147848994,3,False,0,5.695802211761475,
polbooks,baseline,55,3,0.01094965575043319,0.030379171612359163,3,False,1,5.236822843551636,
polbooks,baseline,56,3,0.007432602670698014,0.052371913094854165,2,True,10,5.634327173233032,
polbooks,baseline,61,3,0.0023729824507278787,0.009153305534923621,2,True,2,3.6014509201049805,
polbooks,ortho,46,3,0.04552886914402951,0.01804431696738243,3,False,1,2.793459892272949,
polbooks,ortho,42,3,-0.02071153480288558,0.011834692844254459,3,False,0,5.031487941741943,
polbooks,baseline,60,3,0.02907481964819196,0.08050692674385135,3,False,1,5.553007125854492,
polbooks,ortho,45,3,-0.014394722363624171,0.00849459765566817,3,False,0,3.5576276779174805,
polbooks,ortho,43,3,-0.006640751538710743,0.05025672802181103,3,False,0,5.785971164703369,
polbooks,ortho,48,3,0.01836940369496251,0.034446618877014376,3,False,0,2.929267168045044,
polbooks,ortho,44,3,0.06346892498496001,0.005437215496564599,2,False,9,4.970930814743042,
polbooks,ortho,49,3,0.022904551087252735,0.06309969818166684,3,False,3,2.067209005355835,
polbooks,ortho,50,3,0.0128778646757267,0.03878502471461654,3,False,0,2.479698896408081,
polbooks,ortho,53,3,-0.007499447246774732,0.022353381772776914,3,False,4,1.9554650783538818,
polbooks,ortho,52,3,0.023323615160349895,0.05403050992481857,3,False,0,2.5856430530548096,
polbooks,ortho,47,3,-0.0019153541991248383,0.04475456799533287,3,False,0,5.7805421352386475,
polbooks,ortho,59,3,-0.028354954982748915,0.05972068013351365,3,False,1,2.037446975708008,
polbooks,ortho,58,3,0.04699944981772001,0.06588820039117564,3,False,0,2.855966806411743,
polbooks,ortho,51,3,-7.969930224543259e-05,0.007164019156915281,3,False,0,5.757843017578125,
polbooks,ortho,56,3,-0.0010515166005933578,0.009605997025915216,3,False,0,4.397531270980835,
polbooks,ortho,57,3,-0.0029334485116797064,0.07148202086437089,3,False,0,3.718683958053589,
polbooks,ortho,54,3,0.019040420400964653,0.023153710147848994,3,False,0,5.75949501991272,
polbooks,ortho,55,3,0.01094965575043319,0.030379171612359163,3,False,1,5.697439908981323,
polbooks,ortho,61,3,-0.0063887989058056815,0.008993503229185209,3,False,0,3.4718010425567627,
polbooks,ortho,60,3,0.02907481964819196,0.08050692674385135,3,False,1,5.356728792190552,
