graph,strategy,shot,seed,k,mod,nmi,n_used,collapsed,best_epoch,time
karate,baseline,0,42,2,0.0211015535690861,0.16944637246155173,2,True,2,7.203330039978027
karate,baseline,1,43,2,0.0,0.0,1,True,0,6.470800161361694
karate,baseline,2,44,2,0.005275388392271553,0.09295323863602867,2,True,4,6.09256386756897
karate,baseline,3,45,2,0.005275388392271553,0.09295323863602867,2,True,4,6.507970809936523
karate,baseline,4,46,2,0.05722344034032351,0.08841241724654092,2,True,0,5.314207315444946
karate,ortho,0,42,2,0.0211015535690861,0.16944637246155173,2,True,2,7.500746965408325
karate,ortho,1,43,2,-0.028222859391690558,0.024437675836944072,2,False,0,6.428362846374512
karate,ortho,2,44,2,0.002014579936657823,0.023023025541968067,2,False,0,6.582551956176758
karate,ortho,3,45,2,0.005275388392271553,0.09295323863602867,2,True,4,6.832787036895752
karate,ortho,4,46,2,0.05722344034032351,0.08841241724654092,2,True,0,4.556736946105957
karate,collapse,0,42,2,-0.024634096062667567,0.0026986903670697202,2,False,0,6.430927991867065
karate,collapse,1,43,2,-0.028222859391690558,0.024437675836944072,2,False,0,6.320827960968018
karate,collapse,2,44,2,0.002014579936657823,0.023023025541968067,2,False,0,4.313976764678955
karate,collapse,3,45,2,-0.07249676730196208,0.004415510507094368,2,False,1,6.14417576789856
karate,collapse,4,46,2,0.05722344034032351,0.08841241724654092,2,True,0,5.028030872344971
football,baseline,0,42,12,0.08723976698450377,0.067833055141516,2,False,11,2.8455939292907715
football,baseline,1,43,12,0.022830515556099593,0.15274601454915826,7,False,2,2.4695990085601807
football,baseline,2,44,12,0.0061447325351479095,0.12658315626834948,7,False,2,2.4745802879333496
football,baseline,3,45,12,0.03831742373639125,0.2582687500762586,12,False,0,2.418282985687256
football,baseline,4,46,12,0.15685035221106583,0.21569091965705797,2,True,188,3.8239591121673584
football,ortho,0,42,12,0.008481274399963802,0.2620910281455034,12,False,0,2.6982550621032715
football,ortho,1,43,12,-0.013215565946099869,0.15524600549319875,9,False,0,2.461028814315796
football,ortho,2,44,12,-0.003958549002179533,0.2519533775957945,12,False,1,4.2913830280303955
football,ortho,3,45,12,0.03831742373639125,0.2582687500762586,12,False,0,3.4567410945892334
football,ortho,4,46,12,0.11428696885586616,0.206548028992021,2,True,16,7.23367714881897
football,collapse,0,42,12,0.008481274399963802,0.2620910281455034,12,False,0,2.5650150775909424
football,collapse,1,43,12,-0.013215565946099869,0.15524600549319875,9,False,0,3.544790744781494
football,collapse,2,44,12,-0.022102674781581257,0.2110075488853548,11,False,0,4.3389551639556885
football,collapse,3,45,12,0.03831742373639125,0.2582687500762586,12,False,0,2.376986026763916
football,collapse,4,46,12,-0.0023338806554026583,0.20197206910584825,11,False,0,6.645235776901245
polbooks,baseline,0,42,3,0.0,0.0,1,True,0,4.912592887878418
polbooks,baseline,1,43,3,0.030889906983201522,0.03499275352623582,2,True,5,4.088184118270874
polbooks,baseline,2,44,3,0.45687496464950306,0.568681052486755,2,False,110,6.574427843093872
polbooks,baseline,3,45,3,0.004902792560712949,0.021028842919237796,3,True,1,2.693239212036133
polbooks,baseline,4,46,3,0.04552886914402951,0.01804431696738243,3,False,1,3.892228126525879
polbooks,ortho,0,42,3,-0.02071153480288558,0.011834692844254459,3,False,0,6.926980257034302
polbooks,ortho,1,43,3,-0.006640751538710743,0.05025672802181103,3,False,0,7.622891902923584
polbooks,ortho,2,44,3,0.06346892498496001,0.005437215496564599,2,False,9,4.408267021179199
polbooks,ortho,3,45,3,-0.014394722363624171,0.00849459765566817,3,False,0,5.314959764480591
polbooks,ortho,4,46,3,0.04552886914402951,0.01804431696738243,3,False,1,3.4687840938568115
polbooks,collapse,0,42,3,-0.02071153480288558,0.011834692844254459,3,False,0,7.34940505027771
polbooks,collapse,1,43,3,-0.006640751538710743,0.05025672802181103,3,False,0,6.714431047439575
