graph,lr,alpha_ortho,epochs,mod_mean,mod_std,mod_best,nmi_mean,nmi_best,collapse_rate,n_shots
karate,0.001,0.0,3000,0.09661550570641474,0.07599391091763827,0.2143887858173572,0.1687740299659745,0.3169675284895579,0.4,5
karate,0.001,0.0,10000,0.09661550570641475,0.07599391091763827,0.2143887858173572,0.1687740299659745,0.3169675284895579,0.4,5
karate,0.001,0.1,3000,0.0966754745975525,0.08774273198286586,0.2143887858173572,0.18872486636765476,0.3169675284895579,0.0,5
karate,0.001,0.1,10000,0.0966754745975525,0.08774273198286586,0.2143887858173572,0.18872486636765476,0.3169675284895579,0.0,5
karate,0.001,0.5,3000,0.011693933771855843,0.07709891521971508,0.1291954798448304,0.1143979131663102,0.2392428592466307,0.0,5
karate,0.001,0.5,10000,0.011693933771855843,0.07709891521971508,0.1291954798448304,0.1143979131663102,0.2392428592466307,0.0,5
karate,0.001,1.0,3000,-0.062466970259178,0.0187679498578929,-0.0372556736193099,0.0949242132639079,0.1797176817970465,0.0,5
karate,0.001,1.0,10000,-0.062466970259178,0.0187679498578929,-0.0372556736193099,0.0949242132639079,0.1797176817970465,0.0,5
karate,0.005,0.0,3000,0.045810610745675676,0.0762898697312508,0.1804314012106219,0.1277386143612667,0.3169932166591199,0.6,5
karate,0.005,0.0,10000,0.045810610745675676,0.0762898697312508,0.1804314012106219,0.1277386143612667,0.3169932166591199,0.6,5
karate,0.005,0.1,3000,0.025659189295552935,0.07984674264518377,0.1560409287682014,0.16686212839985134,0.34063749974501,0.2,5
karate,0.005,0.1,10000,0.025659189295552935,0.07984674264518377,0.1560409287682014,0.16686212839985134,0.34063749974501,0.2,5
karate,0.005,0.5,3000,-0.053544723674593765,0.01983600117645241,-0.0257959933284608,0.06011787454791544,0.1058828047626208,0.0,5
karate,0.005,0.5,10000,-0.053544723674593765,0.01983600117645241,-0.0257959933284608,0.06011787454791544,0.1058828047626208,0.0,5
karate,0.005,1.0,3000,-0.053544723674593765,0.01983600117645241,-0.0257959933284608,0.06011787454791544,0.1058828047626208,0.0,5
karate,0.005,1.0,10000,-0.053544723674593765,0.01983600117645241,-0.0257959933284608,0.06011787454791544,0.1058828047626208,0.0,5
karate,0.014,0.0,3000,0.07966117576507188,0.1789828309918381,0.3998332115215232,0.1618894649137816,0.6772430411026018,0.6,5
karate,0.014,0.0,10000,0.07966117576507188,0.17898283099183807,0.3998332115215232,0.1618894649137816,0.6772430411026018,0.6,5
karate,0.014,0.1,3000,0.07161597421337684,0.18420127434316774,0.3998332115215232,0.1853699855477569,0.6772430411026018,0.4,5
karate,0.014,0.1,10000,0.07161597421337683,0.18420127434316774,0.3998332115215232,0.1853699855477569,0.6772430411026018,0.4,5
karate,0.014,0.5,3000,-0.07141170517793892,0.030512686534587493,-0.0386424542268698,0.07007138017690866,0.1557072115163835,0.0,5
karate,0.014,0.5,10000,-0.0714117051779389,0.030512686534587486,-0.0386424542268698,0.07007138017690866,0.1557072115163835,0.0,5
karate,0.014,1.0,3000,-0.07141170517793892,0.030512686534587493,-0.0386424542268698,0.07007138017690866,0.1557072115163835,0.0,5
karate,0.014,1.0,10000,-0.0714117051779389,0.030512686534587486,-0.0386424542268698,0.07007138017690866,0.1557072115163835,0.0,5
lfr_n200_mu0.1,0.001,0.0,3000,0.089792471042471,0.10122615461145375,0.233710458251964,0.13896082668379367,0.280993063201736,0.0,5
lfr_n200_mu0.1,0.001,0.0,10000,0.09034776986031809,0.101713485279852,0.233710458251964,0.14524321169348198,0.280993063201736,0.0,5
lfr_n200_mu0.1,0.001,0.1,3000,0.07338367048791761,0.096231085817445,0.1955401864909587,0.10380285620133464,0.1962480725852078,0.0,5
lfr_n200_mu0.1,0.001,0.1,10000,0.07956975522129964,0.10378450242020133,0.1955401864909587,0.12533687392198606,0.303918161188465,0.0,5
lfr_n200_mu0.1,0.001,0.5,3000,0.0141344046749452,0.02068124727737025,0.0445338471400247,0.05172969094583778,0.0769362513304632,0.0,5
lfr_n200_mu0.1,0.001,0.5,10000,0.0141344046749452,0.02068124727737025,0.0445338471400247,0.05172969094583778,0.0769362513304632,0.0,5
lfr_n200_mu0.1,0.001,1.0,3000,0.00202423189874928,0.016389625702553808,0.0143408714837286,0.04868780800646128,0.0791177230733157,0.0,5
lfr_n200_mu0.1,0.001,1.0,10000,0.00202423189874928,0.016389625702553808,0.0143408714837286,0.04868780800646128,0.0791177230733157,0.0,5
lfr_n200_mu0.1,0.005,0.0,3000,0.02911973956858128,0.019918931993071983,0.0563195055231735,0.07600403015606712,0.1425365141042021,0.4,5
lfr_n200_mu0.1,0.005,0.0,10000,0.02911973956858128,0.019918931993071987,0.0563195055231735,0.07600403015606712,0.1425365141042021,0.4,5
lfr_n200_mu0.1,0.005,0.1,3000,0.01040262891131618,0.01624851366805977,0.0276209917860497,0.053661691780379404,0.0712010449472087,0.0,5
lfr_n200_mu0.1,0.005,0.1,10000,0.01040262891131618,0.01624851366805977,0.0276209917860497,0.053661691780379404,0.0712010449472087,0.0,5
lfr_n200_mu0.1,0.005,0.5,3000,0.00014189934556731943,0.017935081396150923,0.0276209917860497,0.045183452375830255,0.0634285847404999,0.0,5
lfr_n200_mu0.1,0.005,0.5,10000,0.0001418993455673194,0.01793508139615092,0.0276209917860497,0.045183452375830255,0.0634285847404999,0.0,5
lfr_n200_mu0.1,0.005,1.0,3000,-0.01046607832322114,0.012472734198086038,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
