graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
karate,5,0.005,0.5,10000,46,6,-0.02579599332846085,0.10588280476262081,5,False,11.667861938476562,
karate,5,0.005,0.5,10000,43,2,-0.04102246959389818,0.04634468962297985,4,False,17.068609952926636,
karate,5,0.005,0.5,10000,44,4,-0.06909540675774441,0.02789559718353777,5,False,17.232775926589966,
karate,5,0.005,0.5,10000,45,0,-0.058844474428890015,0.058678643128829276,5,False,14.298906326293945,
karate,5,0.005,1.0,10000,43,2,-0.04102246959389818,0.04634468962297985,4,False,8.637145757675171,
karate,5,0.005,1.0,10000,42,2,-0.07296527426397557,0.06178763804160973,5,False,10.159477710723877,
karate,5,0.014,0.0,3000,42,0,0.0,0.0,1,True,4.521477222442627,
karate,5,0.014,0.0,3000,43,6,-0.0015273326961638518,0.13220428346630617,3,False,4.526429176330566,
karate,5,0.014,0.0,3000,44,1233,0.3998332115215232,0.6772430411026018,2,False,4.551042795181274,
karate,5,0.014,0.0,3000,45,0,0.0,0.0,1,True,4.557629823684692,
karate,5,0.014,0.0,3000,46,0,0.0,0.0,1,True,4.606071949005127,
karate,5,0.005,1.0,10000,44,4,-0.06909540675774441,0.02789559718353777,5,False,12.27885389328003,
karate,5,0.005,1.0,10000,46,6,-0.02579599332846085,0.10588280476262081,5,False,11.710484027862549,
karate,5,0.014,0.0,10000,42,0,0.0,0.0,1,True,5.844166040420532,
karate,5,0.005,1.0,10000,45,0,-0.058844474428890015,0.058678643128829276,5,False,14.58162522315979,
karate,5,0.014,0.0,10000,43,6,-0.0015273326961638518,0.13220428346630617,3,False,8.009655714035034,
karate,5,0.014,0.0,10000,45,0,0.0,0.0,1,True,4.945953130722046,
karate,5,0.014,0.1,3000,42,0,0.0,0.0,1,True,3.7702908515930176,
karate,5,0.014,0.0,10000,46,0,0.0,0.0,1,True,5.450023889541626,
karate,5,0.014,0.1,3000,43,6,-0.0015273326961638518,0.13220428346630617,3,False,4.76779317855835,
karate,5,0.014,0.1,3000,44,399,0.3998332115215232,0.6772430411026018,2,False,4.762603044509888,
karate,5,0.014,0.1,10000,42,0,0.0,0.0,1,True,3.7793638706207275,
karate,5,0.014,0.1,3000,45,4,-0.0015835535316054052,9.68712047142863e-16,2,True,4.708530902862549,
karate,5,0.014,0.1,3000,46,0,-0.038642454226869835,0.11740260316987576,5,False,4.804574966430664,
karate,5,0.014,0.1,10000,45,4,-0.0015835535316054052,9.68712047142863e-16,2,True,4.909727096557617,
karate,5,0.014,0.1,10000,43,6,-0.0015273326961638518,0.13220428346630617,3,False,6.778090000152588,
karate,5,0.014,0.0,10000,44,1233,0.3998332115215232,0.6772430411026018,2,False,15.19517993927002,
karate,5,0.014,0.5,3000,42,0,-0.12026573714885405,0.007576512230527058,4,False,4.792614936828613,
karate,5,0.014,0.5,3000,43,2,-0.06260190026423793,0.010991930838927978,3,False,4.718068361282349,
karate,5,0.014,0.1,10000,46,0,-0.038642454226869835,0.11740260316987576,5,False,7.097843885421753,
karate,5,0.014,0.5,3000,44,2,-0.07670395982084292,0.15570721151638353,5,False,4.8116350173950195,
karate,5,0.014,0.1,10000,44,399,0.3998332115215232,0.6772430411026018,2,False,10.2295560836792,
karate,5,0.014,0.5,3000,45,0,-0.058844474428890015,0.058678643128829276,5,False,4.770661115646362,
karate,5,0.014,0.5,3000,46,0,-0.038642454226869835,0.11740260316987576,5,False,4.75993800163269,
karate,5,0.014,0.5,10000,42,0,-0.12026573714885405,0.007576512230527058,4,False,5.220571756362915,
karate,5,0.014,1.0,3000,42,0,-0.12026573714885405,0.007576512230527058,4,False,2.640305280685425,
karate,5,0.014,0.5,10000,43,2,-0.06260190026423793,0.010991930838927978,3,False,7.2859721183776855,
karate,5,0.014,1.0,3000,43,2,-0.06260190026423793,0.010991930838927978,3,False,4.607154369354248,
karate,5,0.014,1.0,3000,44,2,-0.07670395982084292,0.15570721151638353,5,False,4.740937232971191,
karate,5,0.014,0.5,10000,45,0,-0.058844474428890015,0.058678643128829276,5,False,7.872766971588135,
