method,mod,nmi,k_found,time,graph
Louvain,0.4266224396094526,0.594228158548046,4,0.0009081363677978516,karate
Louvain,0.5188283691309679,0.4837715104078087,5,0.0011267662048339844,dolphins
Louvain,0.5041644027567275,0.6344367974809549,5,0.002402067184448242,polbooks_binary
Louvain,0.35210794026487463,1.0,2,0.009790897369384766,SBM_n200_p0.3_q0.05
Louvain,0.12240989832276568,0.041687979901149454,9,0.013423919677734375,SBM_n200_p0.2_q0.15
Louvain,0.3007819044590978,1.0,2,0.04448819160461426,SBM_n500_p0.2_q0.05
Louvain,0.4266907303349429,0.6390900826287174,10,0.05291438102722168,polblogs
