graph,mod_best,mod_mean,mod_std,nmi_best,nmi_mean,collapse_rate,n_shots,stable_rate,cv
SBM_n200_p0.2_q0.15,0.1121510103010324,0.10912608103245873,0.002676032189496606,0.1068265416221418,0.027629196925623434,0.0,20,1.0,0.024522388820145024
SBM_n200_p0.3_q0.05,0.3521079402648746,0.3521079402648746,0.0,1.0,1.0,0.0,20,1.0,0.0
SBM_n500_p0.2_q0.05,0.3007819044590978,0.3007819044590978,0.0,1.0,1.0,0.0,20,1.0,0.0
dolphins,0.4027332779557769,0.3964499030892764,0.006481484882343869,0.8164962681247925,0.6871804431414271,0.0,20,1.0,0.01634881187216309
karate,0.3998332115215232,0.3998332115215232,0.0,0.6772430411026018,0.6772430411026018,0.0,20,1.0,0.0
polblogs,0.4256825232827939,0.42566060372268966,2.3427648995492592e-05,0.7369545037725665,0.7251302755765192,0.0,10,1.0,5.503833051638317e-05
polbooks_binary,0.4785953272898854,0.4785953272898854,0.0,0.8701093745414381,0.8494891492258457,0.0,20,1.0,0.0
